image,canopy_cover_pct,plant_count
05-15_00052_P0030859.png,0.9,5
05-15_00053_P0030859.png,0.6,8
05-15_00053_P0030943.png,0.4,9
05-15_00054_P0030859.png,1.5,12
05-15_00054_P0030943.png,0.4,10
05-15_00055_P0030859.png,3.1,10
05-15_00055_P0030943.png,0.4,11
05-15_00056_P0030859.png,2.2,8
05-15_00057_P0030859.png,0.5,6
05-15_00058_P0030859.png,0.5,9
05-15_00059_P0030859.png,0.1,5
05-15_00060_P0030859.png,1.1,7
05-15_00061_P0030859.png,1.9,7
05-15_00062_P0030859.png,3.4,10
05-15_00070_P0030859.png,1.8,9
05-15_00071_P0030859.png,0.9,10
05-15_00071_P0030943.png,3.6,10
05-15_00072_P0030859.png,0.9,10
05-15_00072_P0030943.png,3.9,13
05-15_00073_P0030859.png,1.4,8
05-15_00073_P0030943.png,2.4,11
05-15_00074_P0030859.png,0.6,10
05-15_00074_P0030943.png,0.1,8
05-15_00075_P0030859.png,2.6,11
05-15_00075_P0030943.png,0.1,7
05-15_00076_P0030859.png,3.3,9
05-15_00076_P0030943.png,0.5,10
05-15_00077_P0030859.png,1.4,9
05-15_00078_P0030859.png,0.3,9
05-15_00079_P0030859.png,0.2,7
05-15_00080_P0030859.png,0.1,3
05-15_00081_P0030859.png,1.4,5
05-15_00082_P0030859.png,1.8,6
05-15_00083_P0030859.png,2.6,9
05-15_00091_P0030859.png,2.7,11
05-15_00092_P0030859.png,1.3,11
05-15_00092_P0030943.png,4.0,13
05-15_00093_P0030859.png,1.6,10
05-15_00093_P0030943.png,3.0,13
05-15_00094_P0030859.png,2.1,9
05-15_00094_P0030943.png,1.7,10
05-15_00095_P0030859.png,1.1,9
05-15_00095_P0030943.png,0.7,10
05-15_00096_P0030859.png,2.4,9
05-15_00096_P0030943.png,0.1,7
05-15_00097_P0030859.png,1.5,6
05-15_00097_P0030943.png,0.4,7
05-15_00098_P0030859.png,0.3,8
05-15_00099_P0030859.png,0.4,10
05-15_00100_P0030859.png,0.6,8
05-15_00101_P0030859.png,0.4,5
05-15_00102_P0030859.png,0.5,3
05-15_00103_P0030859.png,1.8,6
05-15_00104_P0030859.png,3.1,8
05-15_00112_P0030859.png,3.7,12
05-15_00113_P0030859.png,1.8,11
05-15_00114_P0030859.png,2.1,10
05-15_00114_P0030943.png,3.0,8
05-15_00115_P0030859.png,2.1,9
05-15_00115_P0030943.png,2.5,10
05-15_00116_P0030859.png,1.1,8
05-15_00116_P0030943.png,1.8,12
05-15_00117_P0030859.png,3.0,10
05-15_00117_P0030943.png,0.5,11
05-15_00118_P0030859.png,2.2,7
05-15_00118_P0030943.png,0.7,9
05-15_00119_P0030859.png,0.3,7
05-15_00120_P0030859.png,0.7,10
05-15_00121_P0030859.png,1.1,9
05-15_00122_P0030859.png,0.5,5
05-15_00123_P0030859.png,0.6,3
05-15_00124_P0030859.png,2.3,7
05-15_00125_P0030859.png,4.5,10
05-15_00133_P0030859.png,3.6,11
05-15_00134_P0030859.png,2.2,8
05-15_00135_P0030686.png,3.2,10
05-15_00135_P0030859.png,2.5,9
05-15_00135_P0030943.png,3.4,8
05-15_00136_P0030686.png,1.7,7
05-15_00136_P0030859.png,2.7,9
05-15_00136_P0030943.png,2.2,11
05-15_00136_P0030953.png,1.2,7
05-15_00137_P0030686.png,0.6,7
05-15_00137_P0030859.png,1.8,9
05-15_00137_P0030943.png,2.0,15
05-15_00137_P0030953.png,1.1,5
05-15_00138_P0030686.png,0.2,3
05-15_00138_P0030859.png,4.0,10
05-15_00138_P0030943.png,1.6,10
05-15_00138_P0030953.png,2.0,5
05-15_00139_P0030686.png,1.7,7
05-15_00139_P0030859.png,3.8,8
05-15_00139_P0030943.png,0.8,9
05-15_00139_P0030953.png,1.3,5
05-15_00140_P0030686.png,2.6,8
05-15_00140_P0030859.png,1.5,6
05-15_00140_P0030953.png,0.1,6
05-15_00141_P0030686.png,1.9,9
05-15_00141_P0030859.png,0.6,7
05-15_00141_P0030953.png,0.3,9
05-15_00142_P0030686.png,0.5,7
05-15_00142_P0030859.png,0.8,9
05-15_00142_P0030953.png,0.3,13
05-15_00143_P0030859.png,0.3,5
05-15_00143_P0030953.png,0.2,10
05-15_00144_P0030859.png,0.7,5
05-15_00145_P0030859.png,1.6,8
05-15_00146_P0030859.png,3.4,8
05-15_00150_P0030686.png,0.2,11
05-15_00153_P0030686.png,0.8,5
05-15_00154_P0030686.png,2.1,8
05-15_00154_P0030859.png,3.8,10
05-15_00155_P0030686.png,3.3,10
05-15_00155_P0030859.png,3.4,10
05-15_00156_P0030686.png,3.1,10
05-15_00156_P0030859.png,1.5,10
05-15_00156_P0030943.png,1.9,10
05-15_00156_P0030953.png,2.0,9
05-15_00157_P0030686.png,1.4,9
05-15_00157_P0030859.png,2.0,9
05-15_00157_P0030943.png,0.7,11
05-15_00157_P0030953.png,2.0,12
05-15_00158_P0030686.png,0.6,9
05-15_00158_P0030859.png,2.3,8
05-15_00158_P0030943.png,1.1,13
05-15_00158_P0030953.png,0.9,8
05-15_00159_P0030686.png,0.8,6
05-15_00159_P0030859.png,3.8,10
05-15_00159_P0030943.png,2.2,11
05-15_00159_P0030953.png,1.1,7
05-15_00160_P0030686.png,0.7,6
